,number_of_triangles,primitive_type,disturbed_areas_cnt,triangle_0_x,triangle_1_x,triangle_2_x,triangle_3_x,triangle_4_x,triangle_5_x,triangle_0_y,triangle_1_y,triangle_2_y,triangle_3_y,triangle_4_y,triangle_5_y,triangle_0_width,triangle_1_width,triangle_2_width,triangle_3_width,triangle_4_width,triangle_5_width,triangle_0_height,triangle_1_height,triangle_2_height,triangle_3_height,triangle_4_height,triangle_5_height,disturbed_area_0_yAL,disturbed_area_1_yAL,disturbed_area_2_yAL,disturbed_area_3_yAL,disturbed_area_4_yAL,disturbed_area_5_yAL,disturbed_area_0_yBL,disturbed_area_1_yBL,disturbed_area_2_yBL,disturbed_area_3_yBL,disturbed_area_4_yBL,disturbed_area_5_yBL,disturbed_area_0_width,disturbed_area_1_width,disturbed_area_2_width,disturbed_area_3_width,disturbed_area_4_width,disturbed_area_5_width,disturbed_area_0_height,disturbed_area_1_height,disturbed_area_2_height,disturbed_area_3_height,disturbed_area_4_height,disturbed_area_5_height,target
378,1,TissuePrimitiveType.CIRCLE,1,195,,,,,,,,,,,,20,,,,,,9,,,,,,,,,,,,310,,,,,,41,,,,,,30,,,,,,ClassB
379,3,TissuePrimitiveType.RECTANGLE,4,312,346,379,,,,,,,,,,5,28,4,,,,21,16,29,,,,200,200,,,,,,,310,310,,,70,60,37,45,,,31,23,44,32,,,ClassC
380,1,TissuePrimitiveType.CIRCLE,5,10,,,,,,,,,,,,6,,,,,,36,,,,,,200,,,,,,,310,310,310,310,,45,51,64,39,44,,22,36,39,31,32,,ClassB
381,1,TissuePrimitiveType.CIRCLE,4,180,,,,,,,,,,,,25,,,,,,18,,,,,,200,200,200,,,,,,,310,,,69,58,40,31,,,33,27,33,47,,,ClassC
382,5,TissuePrimitiveType.CIRCLE,3,316,326,344,368,378,,,,,,,,5,9,19,5,6,,23,23,20,27,20,,200,200,,,,,,,310,,,,61,54,69,,,,31,43,23,,,,ClassC
383,2,TissuePrimitiveType.CIRCLE,5,82,187,,,,,,,,,,,11,25,,,,,34,11,,,,,200,,,,,,,310,310,310,310,,67,52,62,61,52,,27,36,21,36,20,,ClassB
384,6,TissuePrimitiveType.NOPRIMITIVE,4,1,219,272,298,314,371,,,,,,,21,28,19,9,29,7,24,21,23,16,9,8,200,200,,,,,,,310,310,,,39,65,54,51,,,22,21,43,36,,,ClassA
385,2,TissuePrimitiveType.CIRCLE,4,238,377,,,,,,,,,,,8,7,,,,,23,36,,,,,200,200,200,,,,,,,310,,,56,55,70,67,,,40,45,33,33,,,ClassC
386,2,TissuePrimitiveType.CIRCLE,5,303,345,,,,,,,,,,,20,18,,,,,17,18,,,,,200,200,,,,,,,310,310,310,,61,45,44,56,40,,42,28,48,42,21,,ClassB
387,1,TissuePrimitiveType.CIRCLE,3,190,,,,,,,,,,,,15,,,,,,36,,,,,,,,,,,,310,310,310,,,,66,58,48,,,,32,32,38,,,,ClassB
388,1,TissuePrimitiveType.CIRCLE,2,321,,,,,,,,,,,,22,,,,,,24,,,,,,200,200,,,,,,,,,,,62,45,,,,,22,24,,,,,ClassC
389,4,TissuePrimitiveType.CIRCLE,8,34,305,351,373,,,,,,,,,14,14,8,10,,,20,16,19,26,,,200,200,200,200,,,,,,,310,310,41,70,30,36,67,34,47,37,33,46,49,36,ClassB
390,0,TissuePrimitiveType.RECTANGLE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,310,310,,,,45,52,35,,,,48,21,31,,,,ClassC
391,3,TissuePrimitiveType.RECTANGLE,1,157,256,295,,,,,,,,,,24,27,20,,,,20,23,18,,,,,,,,,,310,,,,,,38,,,,,,32,,,,,,ClassA
392,1,TissuePrimitiveType.RECTANGLE,3,107,,,,,,,,,,,,5,,,,,,34,,,,,,200,,,,,,,310,310,,,,65,57,46,,,,35,40,28,,,,ClassC
393,3,TissuePrimitiveType.CIRCLE,0,229,309,356,,,,,,,,,,25,21,12,,,,29,15,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClassB
394,4,TissuePrimitiveType.RECTANGLE,2,189,310,323,350,,,,,,,,,15,7,20,22,,,28,17,11,33,,,200,200,,,,,,,,,,,39,52,,,,,42,42,,,,,ClassA
395,4,TissuePrimitiveType.RECTANGLE,6,283,308,332,367,,,,,,,,,9,10,29,17,,,31,18,18,10,,,200,200,200,,,,,,,310,310,310,60,45,45,39,36,43,40,35,47,31,47,30,ClassC
396,4,TissuePrimitiveType.CIRCLE,1,296,315,330,355,,,,,,,,,10,10,20,29,,,33,24,25,23,,,200,,,,,,,,,,,,51,,,,,,23,,,,,,ClassA
397,6,TissuePrimitiveType.CIRCLE,5,121,243,270,311,348,362,,,,,,,21,8,25,28,9,15,24,16,10,32,18,20,200,200,200,,,,,,,310,310,,56,42,36,43,49,,49,40,43,41,33,,ClassA
398,1,TissuePrimitiveType.CIRCLE,5,255,,,,,,,,,,,,17,,,,,,19,,,,,,200,200,200,,,,,,,310,310,,41,43,30,54,55,,45,24,43,27,38,,ClassC
399,6,TissuePrimitiveType.CIRCLE,4,157,236,282,295,321,354,,,,,,,18,24,4,21,28,28,31,10,9,22,30,35,,,,,,,310,310,310,310,,,43,51,68,53,,,27,32,43,33,,,ClassA
400,3,TissuePrimitiveType.CIRCLE,5,181,358,377,,,,,,,,,,13,14,4,,,,23,9,17,,,,200,200,,,,,,,310,310,310,,32,47,63,67,67,,23,41,30,44,50,,ClassB
401,2,TissuePrimitiveType.CIRCLE,4,106,163,,,,,,,,,,,8,23,,,,,32,36,,,,,200,200,200,,,,,,,310,,,48,40,58,66,,,33,34,45,23,,,ClassC
402,1,TissuePrimitiveType.NOPRIMITIVE,6,218,,,,,,,,,,,,14,,,,,,32,,,,,,200,200,,,,,,,310,310,310,310,32,47,58,67,49,61,21,38,25,49,36,32,ClassC
403,3,TissuePrimitiveType.RECTANGLE,5,218,272,314,,,,,,,,,,10,22,27,,,,17,22,15,,,,200,200,200,,,,,,,310,310,,58,57,65,47,51,,37,31,50,26,20,,ClassC
404,3,TissuePrimitiveType.CIRCLE,1,270,322,354,,,,,,,,,,28,13,14,,,,8,33,24,,,,,,,,,,310,,,,,,60,,,,,,30,,,,,,ClassB
405,4,TissuePrimitiveType.CIRCLE,4,146,213,304,348,,,,,,,,,16,30,18,26,,,32,23,13,32,,,200,,,,,,,310,310,310,,,65,35,40,65,,,26,50,27,34,,,ClassA
406,3,TissuePrimitiveType.RECTANGLE,3,179,333,363,,,,,,,,,,15,7,20,,,,15,32,10,,,,,,,,,,310,310,310,,,,68,62,36,,,,21,36,43,,,,ClassC
407,3,TissuePrimitiveType.CIRCLE,5,95,308,359,,,,,,,,,,7,11,17,,,,14,8,36,,,,200,200,,,,,,,310,310,310,,62,48,70,50,65,,34,25,29,47,38,,ClassB
408,1,TissuePrimitiveType.RECTANGLE,6,67,,,,,,,,,,,,8,,,,,,8,,,,,,200,200,200,200,,,,,,,310,310,33,42,30,41,66,55,20,39,29,36,26,40,ClassC
409,3,TissuePrimitiveType.CIRCLE,4,269,311,351,,,,,,,,,,29,30,25,,,,17,10,8,,,,200,200,200,,,,,,,310,,,42,35,58,70,,,30,28,49,26,,,ClassC
410,1,TissuePrimitiveType.CIRCLE,4,42,,,,,,,,,,,,26,,,,,,8,,,,,,200,200,,,,,,,310,310,,,49,41,36,46,,,43,35,30,33,,,ClassB
411,3,TissuePrimitiveType.CIRCLE,6,294,332,356,,,,,,,,,,25,13,28,,,,12,23,22,,,,200,200,200,200,,,,,,,310,310,67,47,37,50,45,33,27,38,46,39,46,24,ClassC
412,3,TissuePrimitiveType.RECTANGLE,6,186,319,365,,,,,,,,,,29,22,8,,,,14,9,14,,,,200,200,200,,,,,,,310,310,310,32,54,52,35,31,53,23,39,49,44,39,42,ClassC
413,3,TissuePrimitiveType.CIRCLE,0,25,347,371,,,,,,,,,,29,18,8,,,,18,22,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClassB
414,1,TissuePrimitiveType.CIRCLE,2,335,,,,,,,,,,,,10,,,,,,20,,,,,,,,,,,,310,310,,,,,44,41,,,,,23,37,,,,,ClassB
415,0,TissuePrimitiveType.CIRCLE,3,,,,,,,,,,,,,,,,,,,,,,,,,200,200,200,,,,,,,,,,53,31,43,,,,31,39,24,,,,ClassC
416,4,TissuePrimitiveType.RECTANGLE,7,8,213,312,358,,,,,,,,,27,29,29,26,,,26,27,34,15,,,200,200,200,200,,,,,,,310,310,61,59,50,36,67,61,24,22,26,38,30,45,ClassA
417,2,TissuePrimitiveType.CIRCLE,4,221,279,,,,,,,,,,,25,21,,,,,31,24,,,,,200,200,200,,,,,,,310,,,62,58,56,57,,,40,50,33,35,,,ClassC
418,4,TissuePrimitiveType.CIRCLE,4,156,218,311,355,,,,,,,,,25,19,21,29,,,8,19,27,28,,,,,,,,,310,310,310,310,,,51,32,54,69,,,40,39,24,27,,,ClassA
419,4,TissuePrimitiveType.CIRCLE,2,69,99,158,229,,,,,,,,,13,22,7,13,,,21,28,25,14,,,200,200,,,,,,,,,,,30,58,,,,,30,48,,,,,ClassC
420,3,TissuePrimitiveType.CIRCLE,1,184,254,297,,,,,,,,,,26,24,19,,,,34,22,24,,,,,,,,,,310,,,,,,58,,,,,,31,,,,,,ClassA
421,2,TissuePrimitiveType.CIRCLE,6,81,251,,,,,,,,,,,9,26,,,,,19,30,,,,,200,200,,,,,,,310,310,310,310,37,58,58,46,55,55,49,50,44,39,39,46,ClassB
422,0,TissuePrimitiveType.CIRCLE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,310,310,,,,59,42,38,,,,34,26,50,,,,ClassB
423,6,TissuePrimitiveType.RECTANGLE,4,202,217,263,335,352,363,,,,,,,8,10,16,12,6,16,8,18,27,16,13,16,200,200,200,200,,,,,,,,,48,38,48,52,,,36,33,45,42,,,ClassC
424,4,TissuePrimitiveType.CIRCLE,4,76,318,337,370,,,,,,,,,7,6,24,14,,,10,35,16,33,,,200,200,,,,,,,310,310,,,60,64,65,31,,,49,44,21,46,,,ClassB
425,2,TissuePrimitiveType.CIRCLE,3,64,174,,,,,,,,,,,30,23,,,,,28,8,,,,,,,,,,,310,310,310,,,,65,49,38,,,,44,46,29,,,,ClassB
426,0,TissuePrimitiveType.CIRCLE,4,,,,,,,,,,,,,,,,,,,,,,,,,200,200,,,,,,,310,310,,,61,61,57,47,,,47,23,22,21,,,ClassB
427,2,TissuePrimitiveType.CIRCLE,3,299,363,,,,,,,,,,,22,11,,,,,32,21,,,,,200,,,,,,,310,310,,,,42,55,30,,,,40,30,47,,,,ClassB
428,0,TissuePrimitiveType.RECTANGLE,3,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,310,310,,,,35,51,67,,,,49,30,22,,,,ClassC
429,3,TissuePrimitiveType.CIRCLE,8,316,339,362,,,,,,,,,,10,18,13,,,,27,25,26,,,,200,200,200,200,,,,,,,310,310,55,39,37,36,62,69,23,26,28,25,50,31,ClassB
430,4,TissuePrimitiveType.RECTANGLE,4,205,330,351,367,,,,,,,,,12,16,11,17,,,25,12,36,13,,,,,,,,,310,310,310,310,,,63,49,43,61,,,22,41,42,23,,,ClassC
431,4,TissuePrimitiveType.CIRCLE,1,142,318,338,363,,,,,,,,,10,7,20,21,,,21,26,17,28,,,,,,,,,310,,,,,,57,,,,,,29,,,,,,ClassB
432,3,TissuePrimitiveType.CIRCLE,8,27,61,260,,,,,,,,,,29,4,14,,,,11,22,14,,,,200,200,200,200,,,,,,,310,310,70,45,57,30,56,32,21,23,31,40,28,43,ClassB
433,4,TissuePrimitiveType.CIRCLE,3,179,301,331,356,,,,,,,,,24,11,18,21,,,25,20,12,19,,,200,200,,,,,,,310,,,,45,45,69,,,,37,32,48,,,,ClassA
434,2,TissuePrimitiveType.CIRCLE,4,276,289,,,,,,,,,,,7,6,,,,,8,20,,,,,200,,,,,,,310,310,310,,,43,52,65,38,,,35,42,25,44,,,ClassB
435,4,TissuePrimitiveType.NOPRIMITIVE,2,16,140,294,331,,,,,,,,,19,4,20,20,,,30,13,27,22,,,,,,,,,310,310,,,,,59,37,,,,,28,49,,,,,ClassA
436,3,TissuePrimitiveType.RECTANGLE,2,214,302,341,,,,,,,,,,28,19,13,,,,11,10,11,,,,200,200,,,,,,,,,,,44,64,,,,,23,24,,,,,ClassC
437,5,TissuePrimitiveType.CIRCLE,5,167,179,318,337,363,,,,,,,,6,26,14,21,21,,23,33,16,32,11,,200,200,200,,,,,,,310,310,,38,32,37,54,48,,32,26,22,29,21,,ClassA
438,3,TissuePrimitiveType.CIRCLE,3,12,314,336,,,,,,,,,,27,15,28,,,,36,33,13,,,,200,200,,,,,,,310,,,,57,50,34,,,,25,24,24,,,,ClassA
439,2,TissuePrimitiveType.CIRCLE,4,179,373,,,,,,,,,,,28,11,,,,,20,20,,,,,200,200,,,,,,,310,310,,,60,64,38,36,,,20,23,43,39,,,ClassB
440,3,TissuePrimitiveType.CIRCLE,5,316,343,365,,,,,,,,,,14,14,19,,,,35,16,30,,,,200,200,,,,,,,310,310,310,,68,59,31,42,69,,20,39,37,33,20,,ClassB
441,4,TissuePrimitiveType.CIRCLE,4,207,246,316,341,,,,,,,,,17,10,16,15,,,25,10,35,18,,,200,200,200,,,,,,,310,,,64,66,31,30,,,27,48,39,48,,,ClassC
442,1,TissuePrimitiveType.RECTANGLE,4,78,,,,,,,,,,,,18,,,,,,9,,,,,,200,,,,,,,310,310,310,,,33,39,68,35,,,50,41,35,36,,,ClassC
443,1,TissuePrimitiveType.CIRCLE,2,103,,,,,,,,,,,,4,,,,,,13,,,,,,,,,,,,310,310,,,,,46,52,,,,,48,46,,,,,ClassB
444,4,TissuePrimitiveType.CIRCLE,3,77,279,323,355,,,,,,,,,5,17,21,22,,,20,31,22,16,,,200,200,,,,,,,310,,,,60,39,48,,,,35,46,33,,,,ClassA
445,4,TissuePrimitiveType.RECTANGLE,1,118,159,234,316,,,,,,,,,5,21,11,22,,,25,18,18,15,,,200,,,,,,,,,,,,66,,,,,,26,,,,,,ClassC
446,2,TissuePrimitiveType.CIRCLE,4,116,272,,,,,,,,,,,9,14,,,,,34,33,,,,,200,200,200,200,,,,,,,,,65,48,58,69,,,47,43,33,33,,,ClassC
447,4,TissuePrimitiveType.CIRCLE,4,24,114,317,363,,,,,,,,,14,6,25,19,,,22,10,13,13,,,200,200,,,,,,,310,310,,,31,60,69,66,,,37,40,26,36,,,ClassB
448,4,TissuePrimitiveType.CIRCLE,4,277,301,335,371,,,,,,,,,18,20,30,9,,,30,11,14,35,,,200,200,,,,,,,310,310,,,55,56,44,56,,,50,35,20,20,,,ClassA
449,4,TissuePrimitiveType.CIRCLE,0,261,307,336,360,,,,,,,,,13,21,18,16,,,33,21,15,31,,,,,,,,,,,,,,,,,,,,,,,,,,,ClassA
450,1,TissuePrimitiveType.CIRCLE,3,58,,,,,,,,,,,,12,,,,,,19,,,,,,200,,,,,,,310,310,,,,39,39,36,,,,49,26,39,,,,ClassB
451,6,TissuePrimitiveType.CIRCLE,2,99,120,202,280,343,376,,,,,,,14,14,15,5,26,8,16,14,26,15,34,24,200,,,,,,,310,,,,,70,67,,,,,24,36,,,,,ClassA
452,3,TissuePrimitiveType.CIRCLE,5,2,277,319,,,,,,,,,,5,28,24,,,,23,24,12,,,,200,200,,,,,,,310,310,310,,62,47,33,35,65,,39,31,33,26,48,,ClassB
453,5,TissuePrimitiveType.CIRCLE,5,227,247,303,323,358,,,,,,,,10,14,15,28,26,,18,34,31,24,14,,200,200,200,,,,,,,310,310,,31,65,61,36,42,,29,43,48,25,42,,ClassA
454,3,TissuePrimitiveType.CIRCLE,5,259,330,374,,,,,,,,,,21,24,7,,,,8,17,33,,,,200,200,200,,,,,,,310,310,,70,34,49,39,61,,38,36,41,45,21,,ClassC
455,3,TissuePrimitiveType.CIRCLE,2,216,271,292,,,,,,,,,,27,15,16,,,,14,23,12,,,,,,,,,,310,310,,,,,56,60,,,,,44,21,,,,,ClassB
456,1,TissuePrimitiveType.CIRCLE,2,342,,,,,,,,,,,,6,,,,,,32,,,,,,200,,,,,,,310,,,,,69,68,,,,,27,48,,,,,ClassB
457,1,TissuePrimitiveType.CIRCLE,4,108,,,,,,,,,,,,11,,,,,,20,,,,,,200,200,200,,,,,,,310,,,47,41,60,38,,,31,29,21,36,,,ClassC
458,1,TissuePrimitiveType.CIRCLE,5,145,,,,,,,,,,,,13,,,,,,30,,,,,,200,200,,,,,,,310,310,310,,35,59,43,50,59,,20,44,31,27,34,,ClassB
459,2,TissuePrimitiveType.RECTANGLE,3,259,313,,,,,,,,,,,14,17,,,,,25,25,,,,,200,200,,,,,,,310,,,,49,37,49,,,,24,22,48,,,,ClassC
460,3,TissuePrimitiveType.RECTANGLE,3,62,173,252,,,,,,,,,,7,8,7,,,,10,21,30,,,,200,,,,,,,310,310,,,,55,53,41,,,,22,29,36,,,,ClassC
461,1,TissuePrimitiveType.CIRCLE,5,238,,,,,,,,,,,,11,,,,,,11,,,,,,200,200,200,,,,,,,310,310,,45,50,69,33,42,,34,32,36,49,22,,ClassC
462,3,TissuePrimitiveType.CIRCLE,4,59,201,241,,,,,,,,,,7,22,9,,,,17,9,35,,,,200,,,,,,,310,310,310,,,37,33,66,62,,,34,32,23,32,,,ClassB
463,3,TissuePrimitiveType.RECTANGLE,3,47,106,303,,,,,,,,,,16,27,18,,,,18,34,27,,,,200,,,,,,,310,310,,,,30,38,40,,,,24,33,20,,,,ClassA
464,3,TissuePrimitiveType.RECTANGLE,2,228,318,351,,,,,,,,,,21,23,19,,,,26,12,35,,,,200,200,,,,,,,,,,,43,46,,,,,26,21,,,,,ClassA
465,2,TissuePrimitiveType.CIRCLE,6,316,349,,,,,,,,,,,19,22,,,,,12,17,,,,,200,200,200,200,,,,,,,310,310,62,45,50,45,63,64,46,29,24,38,35,43,ClassC
466,4,TissuePrimitiveType.CIRCLE,4,300,323,334,368,,,,,,,,,5,6,29,16,,,12,36,15,30,,,200,200,,,,,,,310,310,,,53,51,69,40,,,49,41,20,41,,,ClassB
467,1,TissuePrimitiveType.CIRCLE,6,350,,,,,,,,,,,,26,,,,,,36,,,,,,200,200,,,,,,,310,310,310,310,62,40,54,49,51,59,25,25,38,28,38,21,ClassB
468,2,TissuePrimitiveType.CIRCLE,1,230,264,,,,,,,,,,,9,6,,,,,25,31,,,,,200,,,,,,,,,,,,54,,,,,,43,,,,,,ClassC
469,2,TissuePrimitiveType.CIRCLE,2,292,364,,,,,,,,,,,29,14,,,,,30,29,,,,,,,,,,,310,310,,,,,59,63,,,,,46,38,,,,,ClassB
470,2,TissuePrimitiveType.CIRCLE,3,315,350,,,,,,,,,,,4,12,,,,,18,35,,,,,200,200,,,,,,,310,,,,65,60,37,,,,37,46,37,,,,ClassC
471,4,TissuePrimitiveType.CIRCLE,1,285,320,345,362,,,,,,,,,30,20,12,22,,,8,20,33,16,,,,,,,,,310,,,,,,50,,,,,,48,,,,,,ClassB
472,3,TissuePrimitiveType.CIRCLE,3,311,341,364,,,,,,,,,,25,18,20,,,,18,20,28,,,,,,,,,,310,310,310,,,,62,31,69,,,,47,26,26,,,,ClassB
473,4,TissuePrimitiveType.NOPRIMITIVE,3,131,261,323,358,,,,,,,,,28,21,26,9,,,33,32,10,8,,,200,,,,,,,310,310,,,,53,70,60,,,,34,41,34,,,,ClassA
474,3,TissuePrimitiveType.CIRCLE,5,228,309,340,,,,,,,,,,24,21,27,,,,11,35,11,,,,200,200,,,,,,,310,310,310,,38,35,65,64,47,,32,21,47,24,26,,ClassB
475,4,TissuePrimitiveType.CIRCLE,2,94,307,329,346,,,,,,,,,24,4,5,18,,,26,13,17,28,,,200,200,,,,,,,,,,,50,33,,,,,21,39,,,,,ClassC
476,1,TissuePrimitiveType.RECTANGLE,0,175,,,,,,,,,,,,9,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClassC
477,1,TissuePrimitiveType.NOPRIMITIVE,0,84,,,,,,,,,,,,15,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClassC
478,3,TissuePrimitiveType.CIRCLE,6,1,319,355,,,,,,,,,,4,27,15,,,,18,27,28,,,,200,200,200,200,,,,,,,310,310,41,48,41,43,33,48,48,29,49,25,46,21,ClassC
479,2,TissuePrimitiveType.CIRCLE,8,80,195,,,,,,,,,,,12,9,,,,,31,30,,,,,200,200,200,200,,,,,,,310,310,63,34,36,37,42,63,30,32,40,23,42,28,ClassB
480,3,TissuePrimitiveType.NOPRIMITIVE,4,190,337,358,,,,,,,,,,16,15,13,,,,17,22,24,,,,200,200,,,,,,,310,310,,,40,41,41,64,,,47,22,25,39,,,ClassC
481,2,TissuePrimitiveType.RECTANGLE,2,327,353,,,,,,,,,,,21,20,,,,,18,33,,,,,,,,,,,310,310,,,,,34,68,,,,,48,32,,,,,ClassC
482,3,TissuePrimitiveType.CIRCLE,3,62,300,330,,,,,,,,,,16,24,13,,,,34,13,26,,,,200,200,,,,,,,310,,,,50,65,46,,,,41,42,33,,,,ClassC
483,4,TissuePrimitiveType.CIRCLE,3,160,212,262,313,,,,,,,,,22,27,8,16,,,22,10,14,32,,,200,,,,,,,310,310,,,,50,50,58,,,,33,46,49,,,,ClassB
484,4,TissuePrimitiveType.NOPRIMITIVE,3,142,198,280,336,,,,,,,,,27,23,26,26,,,11,31,26,18,,,200,200,,,,,,,310,,,,57,43,38,,,,31,37,44,,,,ClassA
485,6,TissuePrimitiveType.CIRCLE,4,124,237,263,287,331,360,,,,,,,26,13,4,25,23,15,23,13,16,22,25,10,200,200,200,,,,,,,310,,,69,66,47,58,,,27,34,32,33,,,ClassA
486,3,TissuePrimitiveType.NOPRIMITIVE,7,94,304,336,,,,,,,,,,18,27,11,,,,29,34,13,,,,200,200,200,,,,,,,310,310,310,65,59,34,45,31,54,40,50,49,26,39,34,ClassA
487,3,TissuePrimitiveType.NOPRIMITIVE,3,148,265,344,,,,,,,,,,6,26,20,,,,12,23,32,,,,200,,,,,,,310,310,,,,33,56,41,,,,35,23,20,,,,ClassC
488,4,TissuePrimitiveType.CIRCLE,3,278,316,341,375,,,,,,,,,10,9,20,8,,,9,19,9,22,,,200,200,,,,,,,310,,,,70,67,35,,,,37,44,39,,,,ClassC
489,1,TissuePrimitiveType.NOPRIMITIVE,1,230,,,,,,,,,,,,24,,,,,,25,,,,,,200,,,,,,,,,,,,33,,,,,,21,,,,,,ClassC
490,5,TissuePrimitiveType.CIRCLE,4,185,240,286,315,349,,,,,,,,20,20,5,15,28,,17,19,12,21,20,,,,,,,,310,310,310,310,,,42,32,64,55,,,27,39,45,21,,,ClassA
491,0,TissuePrimitiveType.CIRCLE,5,,,,,,,,,,,,,,,,,,,,,,,,,200,200,200,,,,,,,310,310,,42,41,62,52,70,,20,25,28,34,42,,ClassC
492,3,TissuePrimitiveType.RECTANGLE,3,55,345,375,,,,,,,,,,17,19,6,,,,36,9,31,,,,200,,,,,,,310,310,,,,45,56,34,,,,24,28,35,,,,ClassC
493,4,TissuePrimitiveType.CIRCLE,2,72,274,313,355,,,,,,,,,12,16,23,29,,,36,16,36,32,,,200,,,,,,,310,,,,,48,34,,,,,47,23,,,,,ClassA
494,4,TissuePrimitiveType.CIRCLE,7,122,254,309,343,,,,,,,,,5,23,24,8,,,33,20,25,22,,,200,200,200,,,,,,,310,310,310,33,66,67,65,51,53,49,34,48,33,23,32,ClassA
495,1,TissuePrimitiveType.CIRCLE,6,363,,,,,,,,,,,,17,,,,,,15,,,,,,200,200,200,,,,,,,310,310,310,43,60,35,64,49,44,34,22,44,38,26,23,ClassB
496,3,TissuePrimitiveType.CIRCLE,3,212,312,355,,,,,,,,,,26,10,28,,,,33,13,27,,,,200,200,200,,,,,,,,,,38,61,61,,,,31,24,21,,,,ClassA
497,4,TissuePrimitiveType.CIRCLE,3,54,205,330,362,,,,,,,,,28,24,12,16,,,21,8,24,34,,,200,,,,,,,310,310,,,,62,54,39,,,,22,43,36,,,,ClassA
498,3,TissuePrimitiveType.CIRCLE,5,197,299,334,,,,,,,,,,15,16,15,,,,21,32,27,,,,200,200,,,,,,,310,310,310,,59,36,46,50,40,,35,36,34,50,39,,ClassB
499,5,TissuePrimitiveType.RECTANGLE,5,147,243,296,325,354,,,,,,,,5,23,22,21,29,,14,30,31,33,27,,200,200,200,,,,,,,310,310,,59,62,54,32,66,,48,46,33,42,28,,ClassA
500,1,TissuePrimitiveType.CIRCLE,5,118,,,,,,,,,,,,18,,,,,,29,,,,,,200,200,,,,,,,310,310,310,,33,33,48,69,36,,42,49,46,33,27,,ClassB
501,3,TissuePrimitiveType.CIRCLE,2,175,253,305,,,,,,,,,,19,12,10,,,,13,29,18,,,,200,,,,,,,310,,,,,67,65,,,,,38,50,,,,,ClassB
502,6,TissuePrimitiveType.CIRCLE,5,46,96,238,283,320,369,,,,,,,26,9,17,24,25,8,24,24,12,25,32,26,200,200,200,,,,,,,310,310,,70,47,42,51,53,,32,34,47,30,28,,ClassA
503,4,TissuePrimitiveType.RECTANGLE,4,62,250,316,350,,,,,,,,,30,16,19,30,,,8,30,35,29,,,200,200,200,,,,,,,310,,,57,68,37,54,,,47,29,32,46,,,ClassA
504,1,TissuePrimitiveType.CIRCLE,1,323,,,,,,,,,,,,23,,,,,,19,,,,,,,,,,,,310,,,,,,39,,,,,,30,,,,,,ClassB
505,3,TissuePrimitiveType.RECTANGLE,3,3,193,354,,,,,,,,,,20,14,17,,,,10,23,13,,,,200,,,,,,,310,310,,,,56,48,47,,,,27,20,49,,,,ClassC
506,1,TissuePrimitiveType.CIRCLE,6,192,,,,,,,,,,,,20,,,,,,23,,,,,,200,200,,,,,,,310,310,310,310,59,40,32,40,59,38,46,38,35,23,49,32,ClassB
507,3,TissuePrimitiveType.CIRCLE,2,278,324,349,,,,,,,,,,30,12,22,,,,17,29,27,,,,200,,,,,,,310,,,,,58,42,,,,,20,45,,,,,ClassA
508,3,TissuePrimitiveType.RECTANGLE,6,16,123,335,,,,,,,,,,16,8,26,,,,21,21,14,,,,200,200,200,200,,,,,,,310,310,62,36,33,46,46,43,40,44,34,43,24,36,ClassC
509,3,TissuePrimitiveType.RECTANGLE,2,200,314,351,,,,,,,,,,23,29,23,,,,30,26,15,,,,200,200,,,,,,,,,,,43,67,,,,,29,31,,,,,ClassA
510,3,TissuePrimitiveType.CIRCLE,5,128,230,270,,,,,,,,,,26,9,21,,,,27,22,10,,,,200,200,,,,,,,310,310,310,,55,45,65,58,61,,29,33,29,38,41,,ClassB
511,4,TissuePrimitiveType.CIRCLE,4,206,297,334,348,,,,,,,,,7,30,4,4,,,11,8,18,32,,,200,200,200,200,,,,,,,,,36,44,38,34,,,45,50,33,35,,,ClassC
512,6,TissuePrimitiveType.CIRCLE,5,147,172,304,332,367,380,,,,,,,9,25,23,28,8,4,32,15,15,13,26,28,200,200,200,,,,,,,310,310,,43,49,53,31,47,,37,34,47,36,48,,ClassA
513,4,TissuePrimitiveType.CIRCLE,5,127,284,325,358,,,,,,,,,21,15,28,26,,,22,32,27,28,,,200,,,,,,,310,310,310,310,,44,57,68,54,62,,30,41,21,43,49,,ClassA
514,3,TissuePrimitiveType.CIRCLE,5,312,340,373,,,,,,,,,,16,28,10,,,,19,33,14,,,,200,200,,,,,,,310,310,310,,58,57,46,55,35,,23,47,26,28,48,,ClassB
515,2,TissuePrimitiveType.CIRCLE,3,292,335,,,,,,,,,,,11,16,,,,,30,8,,,,,,,,,,,310,310,310,,,,46,61,39,,,,43,38,27,,,,ClassB
516,3,TissuePrimitiveType.CIRCLE,1,302,330,360,,,,,,,,,,23,25,24,,,,20,34,31,,,,200,,,,,,,,,,,,61,,,,,,45,,,,,,ClassA
